boro,zipcode,businesses,cafe,pawn,debt,cig,total_select_bus,hpdA,hpdB,hpdC,hpdTotal,negativeRodent,positiveRodent,total_crime,violation,misdemeanor,felony,theft,assault,harassment,population,pop_per_sqmile
Manhattan,10019,546.0,41.0,1.0,3.0,104.0,149.0,2107.0,4543.0,1421.0,8071.0,972.0,5004.0,27548.0,3763.0,14569.0,9216.0,5608.0,2399.0,3698.0,36012.0,48230.17
Manhattan,10020,71.0,,,,,,,,,,,39.0,3967.0,306.0,2157.0,1504.0,1047.0,230.0,286.0,,
Manhattan,10036,752.0,33.0,32.0,2.0,74.0,141.0,1409.0,3127.0,1012.0,5548.0,847.0,4752.0,52484.0,4547.0,29306.0,18631.0,12520.0,4077.0,4144.0,18751.0,36429.01
Manhattan,10029,450.0,3.0,8.0,0.0,80.0,91.0,4239.0,11792.0,4249.0,20280.0,2977.0,11391.0,70207.0,9191.0,43453.0,17563.0,7903.0,7725.0,8917.0,75390.0,80506.67
Manhattan,10035,239.0,,,,,,3325.0,8575.0,2582.0,14482.0,1811.0,10772.0,54394.0,6288.0,34459.0,13647.0,8318.0,5359.0,6062.0,32702.0,23818.08
Manhattan,10010,308.0,21.0,2.0,1.0,45.0,69.0,495.0,1020.0,327.0,1842.0,368.0,2939.0,19199.0,1978.0,9996.0,7225.0,5038.0,1276.0,1939.0,26408.0,70827.7
Manhattan,10016,466.0,29.0,0.0,5.0,68.0,102.0,1498.0,2902.0,887.0,5287.0,814.0,6560.0,28163.0,2995.0,14004.0,11164.0,5903.0,2301.0,2919.0,51217.0,93367.31
Manhattan,10017,300.0,7.0,5.0,4.0,57.0,73.0,346.0,665.0,121.0,1132.0,153.0,2249.0,8258.0,753.0,4132.0,3373.0,1674.0,714.0,718.0,16201.0,49391.49
Manhattan,10022,463.0,28.0,3.0,1.0,72.0,104.0,872.0,1774.0,535.0,3181.0,550.0,5166.0,22758.0,1725.0,11798.0,9235.0,6732.0,1399.0,1674.0,30642.0,68953.71
Manhattan,10012,249.0,60.0,0.0,0.0,38.0,98.0,1177.0,2583.0,989.0,4749.0,1102.0,5944.0,32189.0,1764.0,19832.0,10593.0,12447.0,1406.0,1713.0,26000.0,80124.51
Manhattan,10013,469.0,73.0,0.0,1.0,60.0,134.0,735.0,1574.0,588.0,2897.0,1459.0,8637.0,28163.0,2211.0,17182.0,8770.0,4620.0,1484.0,2137.0,25042.0,45458.99
Manhattan,10014,325.0,94.0,0.0,0.0,48.0,142.0,1452.0,3205.0,909.0,5566.0,1392.0,9624.0,34714.0,2902.0,18520.0,13292.0,7404.0,2323.0,2813.0,32667.0,57977.33
Manhattan,10004,88.0,1.0,0.0,3.0,25.0,29.0,2.0,5.0,2.0,9.0,72.0,615.0,5816.0,681.0,3302.0,1833.0,1403.0,368.0,662.0,1225.0,2162.99
Manhattan,10005,70.0,,,,,,12.0,14.0,4.0,30.0,27.0,390.0,,,,,,,,884.0,11701.01
Manhattan,10006,33.0,1.0,0.0,4.0,8.0,13.0,36.0,64.0,47.0,147.0,88.0,356.0,,,,,,,,1447.0,21409.87
Manhattan,10007,134.0,4.0,0.0,1.0,38.0,43.0,35.0,38.0,22.0,95.0,259.0,1461.0,6702.0,668.0,3885.0,2149.0,1887.0,376.0,654.0,3522.0,19229.09
Manhattan,10038,189.0,7.0,0.0,1.0,46.0,54.0,144.0,209.0,116.0,469.0,591.0,2129.0,19556.0,2388.0,11148.0,6020.0,4066.0,1742.0,2355.0,15574.0,55019.61
Manhattan,10280,31.0,,,,,,45.0,81.0,13.0,139.0,36.0,124.0,1947.0,324.0,980.0,643.0,349.0,143.0,320.0,6614.0,44080.87
Manhattan,10002,561.0,14.0,5.0,0.0,77.0,96.0,2420.0,5754.0,2513.0,10687.0,3135.0,13666.0,52124.0,5738.0,31193.0,15193.0,9316.0,5023.0,5588.0,84870.0,91610.4
Manhattan,10003,521.0,85.0,0.0,2.0,78.0,165.0,1881.0,4250.0,1391.0,7522.0,2026.0,12229.0,55283.0,4390.0,32604.0,18289.0,18995.0,3331.0,4267.0,53673.0,93255.87
Manhattan,10009,294.0,28.0,1.0,0.0,64.0,93.0,2396.0,6022.0,1710.0,10128.0,3125.0,11014.0,28144.0,3827.0,16146.0,8171.0,4420.0,2579.0,3748.0,58595.0,100687.04
Manhattan,10021,337.0,29.0,0.0,1.0,36.0,66.0,855.0,2131.0,571.0,3557.0,593.0,5591.0,11234.0,1014.0,5392.0,4828.0,2526.0,659.0,1005.0,102078.0,82704.42
Manhattan,10028,305.0,30.0,0.0,0.0,36.0,66.0,1178.0,2407.0,874.0,4459.0,949.0,5751.0,16981.0,1273.0,9187.0,6521.0,5039.0,887.0,1247.0,44987.0,126067.69
Manhattan,10044,17.0,,,,,,86.0,176.0,12.0,274.0,15.0,9.0,1919.0,338.0,990.0,591.0,195.0,259.0,331.0,9520.0,39391.64
Manhattan,10065,247.0,20.0,0.0,0.0,28.0,48.0,1013.0,2266.0,601.0,3880.0,369.0,5044.0,14983.0,1322.0,7600.0,6061.0,3041.0,751.0,1301.0,,
Manhattan,10075,212.0,31.0,0.0,0.0,22.0,53.0,421.0,1049.0,350.0,1820.0,346.0,3406.0,2084.0,157.0,929.0,998.0,474.0,96.0,152.0,,
Manhattan,10128,336.0,30.0,0.0,1.0,40.0,71.0,1394.0,3051.0,1011.0,5456.0,1424.0,6541.0,13359.0,1384.0,6916.0,5059.0,3173.0,888.0,1372.0,59856.0,122356.52
Manhattan,10023,311.0,37.0,0.0,1.0,38.0,76.0,1163.0,2404.0,757.0,4324.0,916.0,10639.0,26087.0,3184.0,14680.0,8223.0,7307.0,1883.0,3095.0,62206.0,90007.7
Manhattan,10024,352.0,70.0,0.0,1.0,39.0,110.0,1799.0,4036.0,1270.0,7105.0,2160.0,14331.0,23964.0,3147.0,13341.0,7476.0,5795.0,1556.0,3083.0,61414.0,58433.71
Manhattan,10025,419.0,48.0,2.0,0.0,64.0,114.0,3825.0,9506.0,2844.0,16175.0,2843.0,13434.0,46505.0,6508.0,26747.0,13250.0,10187.0,3513.0,6383.0,97086.0,88306.24
Manhattan,10031,318.0,13.0,7.0,0.0,54.0,74.0,9775.0,28268.0,11174.0,49217.0,3334.0,13005.0,43566.0,5325.0,26936.0,11305.0,3884.0,4802.0,5151.0,60221.0,101100.03
Manhattan,10032,269.0,6.0,1.0,1.0,53.0,61.0,8586.0,23571.0,9314.0,41471.0,3068.0,8846.0,38151.0,4695.0,22041.0,11415.0,5372.0,4167.0,4571.0,63842.0,97879.45
Manhattan,10033,290.0,6.0,11.0,0.0,53.0,70.0,6587.0,18235.0,6954.0,31776.0,2483.0,6880.0,25836.0,2892.0,14436.0,8508.0,3269.0,2835.0,2815.0,58259.0,78867.63
Manhattan,10034,223.0,13.0,3.0,0.0,39.0,55.0,5958.0,17414.0,5304.0,28676.0,1604.0,4545.0,17844.0,1815.0,10075.0,5954.0,2352.0,2113.0,1778.0,41756.0,47051.23
Manhattan,10040,184.0,4.0,2.0,0.0,34.0,40.0,5097.0,13459.0,4953.0,23509.0,1587.0,3590.0,21157.0,2327.0,12044.0,6786.0,2714.0,2344.0,2284.0,46599.0,75283.14
Queens,11361,240.0,,,,,,93.0,264.0,77.0,434.0,237.0,237.0,12064.0,1472.0,6308.0,4284.0,1839.0,816.0,1457.0,29206.0,15180.72
Queens,11362,123.0,,,,,,3.0,52.0,8.0,63.0,64.0,74.0,6192.0,751.0,3006.0,2435.0,1218.0,272.0,744.0,17502.0,8669.78
Queens,11363,46.0,,,,,,24.0,58.0,15.0,97.0,48.0,50.0,,,,,,,,6917.0,7917.29
Queens,11364,210.0,,,,,,61.0,299.0,43.0,403.0,99.0,131.0,7213.0,954.0,3420.0,2839.0,1037.0,418.0,942.0,34539.0,12340.99
Queens,11354,573.0,,,,,,661.0,2296.0,507.0,3464.0,602.0,1054.0,33189.0,3490.0,19132.0,10567.0,9043.0,3285.0,3471.0,54329.0,24948.16
Queens,11355,492.0,,,,,,852.0,3540.0,830.0,5222.0,618.0,661.0,13026.0,1930.0,6198.0,4898.0,1930.0,1393.0,1916.0,83281.0,40980.07
Queens,11356,270.0,,,,,,159.0,495.0,186.0,840.0,245.0,206.0,9045.0,1292.0,4788.0,2965.0,2087.0,813.0,1277.0,20444.0,13186.78
Queens,11357,415.0,,,,,,24.0,200.0,45.0,269.0,347.0,388.0,9722.0,1673.0,4583.0,3466.0,1418.0,587.0,1657.0,39491.0,14136.1
Queens,11358,360.0,,,,,,222.0,807.0,221.0,1250.0,271.0,250.0,10542.0,1354.0,5306.0,3882.0,1467.0,936.0,1346.0,38647.0,19661.6
Queens,11359,2.0,,,,,,,,,,,,,,,,,,,,
Queens,11360,108.0,,,,,,43.0,119.0,25.0,187.0,54.0,69.0,,,,,,,,19350.0,12040.46
Queens,11365,235.0,,,,,,257.0,398.0,131.0,786.0,217.0,166.0,12927.0,1810.0,6817.0,4300.0,2243.0,1033.0,1793.0,41566.0,17380.05
Queens,11366,142.0,,,,,,24.0,97.0,43.0,164.0,149.0,104.0,7181.0,762.0,3778.0,2641.0,1431.0,422.0,751.0,13366.0,18341.01
Queens,11367,210.0,1.0,0.0,0.0,22.0,23.0,673.0,2313.0,519.0,3505.0,246.0,214.0,15240.0,2306.0,7866.0,5068.0,2514.0,1404.0,2281.0,38216.0,20384.04
Queens,11412,188.0,,,,,,457.0,2228.0,741.0,3426.0,1310.0,717.0,19565.0,2638.0,9311.0,7616.0,1941.0,2637.0,2616.0,37452.0,19681.64
Queens,11423,252.0,,,,,,386.0,2015.0,544.0,2945.0,591.0,397.0,13279.0,1958.0,6498.0,4823.0,1401.0,1479.0,1945.0,31240.0,19366.77
Queens,11432,554.0,,,,,,1147.0,4221.0,1271.0,6639.0,1650.0,3941.0,33456.0,4520.0,18435.0,10501.0,6412.0,3743.0,4444.0,57045.0,26065.18
Queens,11433,251.0,,,,,,539.0,2476.0,1034.0,4049.0,2163.0,1781.0,31127.0,4156.0,15399.0,11572.0,3077.0,3944.0,4117.0,28435.0,18129.86
Queens,11434,368.0,,,,,,594.0,2487.0,847.0,3928.0,1683.0,876.0,26233.0,3369.0,13372.0,9492.0,2892.0,3446.0,3342.0,59142.0,19683.46
Queens,11435,482.0,1.0,5.0,0.0,58.0,64.0,938.0,3350.0,1021.0,5309.0,2099.0,3718.0,23884.0,3135.0,11888.0,8861.0,3017.0,2833.0,3099.0,53877.0,35207.72
Queens,11436,137.0,,,,,,121.0,786.0,313.0,1220.0,812.0,435.0,17065.0,1758.0,8384.0,6923.0,2206.0,1943.0,1734.0,18148.0,21578.65
Queens,11101,518.0,8.0,2.0,1.0,64.0,75.0,715.0,2182.0,611.0,3508.0,1785.0,3566.0,31797.0,4134.0,17989.0,9674.0,6572.0,3198.0,4085.0,25595.0,9029.74
Queens,11102,306.0,10.0,0.0,1.0,38.0,49.0,669.0,2059.0,549.0,3277.0,312.0,251.0,15471.0,2250.0,8544.0,4677.0,2459.0,1802.0,2231.0,36291.0,44416.74
Queens,11103,429.0,28.0,1.0,0.0,56.0,85.0,835.0,2400.0,762.0,3997.0,959.0,4167.0,14515.0,1783.0,8340.0,4392.0,3073.0,1658.0,1756.0,44321.0,62111.19
Queens,11104,220.0,5.0,1.0,0.0,36.0,42.0,768.0,2861.0,626.0,4255.0,350.0,269.0,6603.0,1088.0,3447.0,2068.0,1034.0,660.0,1079.0,29506.0,74459.01
Queens,11105,361.0,25.0,1.0,0.0,36.0,62.0,644.0,1852.0,639.0,3135.0,323.0,308.0,13703.0,1854.0,7620.0,4229.0,2576.0,1158.0,1834.0,42117.0,25956.3
Queens,11106,320.0,15.0,1.0,0.0,52.0,68.0,708.0,2260.0,719.0,3687.0,721.0,1640.0,21496.0,2987.0,11821.0,6688.0,3719.0,2393.0,2936.0,43130.0,49707.26
Queens,11374,281.0,2.0,3.0,1.0,33.0,39.0,748.0,2040.0,423.0,3211.0,383.0,304.0,14589.0,1484.0,8897.0,4208.0,4555.0,1047.0,1475.0,44189.0,48499.11
Queens,11375,422.0,11.0,2.0,2.0,50.0,65.0,764.0,2266.0,505.0,3535.0,443.0,414.0,24465.0,2887.0,13329.0,8249.0,5038.0,1679.0,2854.0,70204.0,26784.05
Queens,11379,338.0,1.0,0.0,0.0,27.0,28.0,212.0,612.0,133.0,957.0,340.0,507.0,6409.0,920.0,3560.0,1929.0,957.0,497.0,916.0,28984.0,15242.36
Queens,11385,952.0,,,,,,2939.0,8535.0,2539.0,14013.0,4383.0,11888.0,55298.0,7065.0,31879.0,16354.0,9112.0,5539.0,6999.0,97524.0,26384.56
Queens,11691,177.0,,,,,,2020.0,6422.0,2151.0,10593.0,747.0,548.0,35123.0,5955.0,18501.0,10667.0,3945.0,4433.0,5906.0,56184.0,13164.72
Queens,11692,59.0,,,,,,849.0,2563.0,449.0,3861.0,226.0,137.0,13595.0,2429.0,6984.0,4182.0,1101.0,1929.0,2361.0,15893.0,15061.65
Queens,11693,80.0,,,,,,194.0,682.0,214.0,1090.0,147.0,102.0,1214.0,199.0,687.0,328.0,142.0,129.0,192.0,11157.0,4421.44
Queens,11694,146.0,1.0,0.0,0.0,23.0,24.0,355.0,862.0,172.0,1389.0,121.0,209.0,12023.0,2094.0,6459.0,3470.0,1962.0,1523.0,2049.0,19278.0,12713.02
Queens,11695,,,,,,,,,,,,,,,,,,,,,
Queens,11697,20.0,,,,,,4.0,12.0,1.0,17.0,,,644.0,79.0,286.0,279.0,82.0,33.0,78.0,,
