boro,zipcode,businesses,cafe,pawn,debt,cig,total_select_bus,hpdA,hpdB,hpdC,hpdTotal,negativeRodent,positiveRodent,total,violation,misdemeanor,felony,population,pop_per_sq_mile
Manhattan,10021,337,29,0,1,36,66,855,2131,571,3557,593,5591,11234,1014,5392,4828,102078,82704.42
Manhattan,10028,305,30,0,0,36,66,1178,2407,874,4459,949,5751,16981,1273,9187,6521,44987,126067.69
Manhattan,10044,17,,,,,,86,176,12,274,15,9,1919,338,990,591,9520,39391.64
Manhattan,10065,247,20,0,0,28,48,1013,2266,601,3880,369,5044,14983,1322,7600,6061,,
Manhattan,10075,212,31,0,0,22,53,421,1049,350,1820,346,3406,2084,157,929,998,,
Manhattan,10128,336,30,0,1,40,71,1394,3051,1011,5456,1424,6541,13359,1384,6916,5059,59856,122356.52
Manhattan,10023,311,37,0,1,38,76,1163,2404,757,4324,916,10639,26087,3184,14680,8223,62206,90007.7
Manhattan,10024,352,70,0,1,39,110,1799,4036,1270,7105,2160,14331,23964,3147,13341,7476,61414,58433.71
Manhattan,10025,419,48,2,0,64,114,3825,9506,2844,16175,2843,13434,46505,6508,26747,13250,97086,88306.24
Manhattan,10031,318,13,7,0,54,74,9775,28268,11174,49217,3334,13005,43566,5325,26936,11305,60221,101100.03
Manhattan,10032,269,6,1,1,53,61,8586,23571,9314,41471,3068,8846,38151,4695,22041,11415,63842,97879.45
Manhattan,10033,290,6,11,0,53,70,6587,18235,6954,31776,2483,6880,25836,2892,14436,8508,58259,78867.63
Manhattan,10034,223,13,3,0,39,55,5958,17414,5304,28676,1604,4545,17844,1815,10075,5954,41756,47051.23
Manhattan,10040,184,4,2,0,34,40,5097,13459,4953,23509,1587,3590,21157,2327,12044,6786,46599,75283.14
Queens,11361,240,,,,,,93,264,77,434,237,237,12064,1472,6308,4284,29206,15180.72
Queens,11362,123,,,,,,3,52,8,63,64,74,6192,751,3006,2435,17502,8669.78
Queens,11363,46,,,,,,24,58,15,97,48,50,,,,,6917,7917.29
Queens,11364,210,,,,,,61,299,43,403,99,131,7213,954,3420,2839,34539,12340.99
Queens,11354,573,,,,,,661,2296,507,3464,602,1054,33189,3490,19132,10567,54329,24948.16
Queens,11355,492,,,,,,852,3540,830,5222,618,661,13026,1930,6198,4898,83281,40980.07
Queens,11356,270,,,,,,159,495,186,840,245,206,9045,1292,4788,2965,20444,13186.78
Queens,11357,415,,,,,,24,200,45,269,347,388,9722,1673,4583,3466,39491,14136.1
