11362	22933
11363	14063
11364	38584
11365	46450
11366	29935
11367	54363
11367-0874	1
11368	116203
11369	53809
11370	32787
113709	1
11371	388
11372	81883
11373	104352
11374	57699
11375	91745
11377	111302
11378	65221
11379	52499
11385	161753
11386	6
11390	1
11400	2
11405	1
1141	1
11411	27916
11412	56825
11412-2116	1
11413	58032
11414	44433
11415	34166
11416	42428
11417	52440
11418	63257
11419	86673
11419-0191	1
11420	77720
11421	62336
11422	40728
114225	1
11423	49117
11425	1
11426	24246
11427	30095
11428	28547
11429	34325
1143	1
11430	5112
11431	10
11432	87948
11433	66179
11434	84331
11434-420	1
11435	78981
11436	32052
11439	1
11451	1
11452	2
114566	1
11459	1
11472	1
11480	1
1150	1
11501	36
11507	11
11509	3
11510	30
11510-2827	1
11513	1
11514	21
11514-0363	1
11516	22
11518	11
11519	1
11520	51
11521	1
11526	1
11528	1
11530	87
11533	1
11534	1
11535	1
11540	1
11542	29
11543	1
11545	4
11548	1
11549	6
11549-3650	1
11550	46
11550-3646	1
11550-7044	1
11552	32
11553	70
11553-0707	1
11553-1423	1
11554	20
11555	1
11556	1
11557	12
11558	16
11559	38
11560	2
11561	38
11561-4717	1
11563	47
11565	12
11566	27
11568	5
11569	3
11570	49
11570-4705	1
11571	1
11572	23
11572-5233	1
11575	11
11576	16
11577	19
11579	6
11580	116
11581	79
11582	2
11583	2
11584	1
11590	83
11590 5027	1
11590-5027	4
11590-5114	1
11596	6
11597	1
11598	48
11599532	1
115I0	1
11612	1
11636	1
11690	2
11691	88448
11692	26589
11693	19487
11694	38220
11695	127
11697	1794
117	1
11701	6
11702	3
11702-3035	1
11703	7
11704	19
11705	1
11706	12
11708	1
11709	1
11710	65
11713	1
11714	17
11714-3561	1
11715	1
11716	9
11716-2501	1
11717	6
11719	5
11720	12
11721	1
11722	6
11723	1
11724	2
11725	41
11725-5710	5
11725-9030	4
11726	11
11727	2
11729	18
11730	3
11731	5
11732	2
11733	3
11735	81
11735-0230	3
11735-0930	1
11735-3931	2
11735-3946	1
11735-9000	2
11735-9030	3
11735-9100	4
11738	4
11739	1
11739100	1
1174	2
11741	11
11742	4
11743	24
11746	25
11747	66
11747-3173	1
11747-9001	1
117475002	1
11749	41
11749-1500	1
11751	1
11753	18
11754	2
11755	3
11756	17
11756-0215	3
11756-1336	1
11756-1338	1
11756-2015	1
11757	15
